,task,accuracy,dataset,iter,categoricality
0,label,0.875,A2,0,1.9767475084885449
1,label_and_triplet,0.9166666666666666,A2,0,2.0045341610911875
2,triplet,0.19166666666666668,A2,0,1.179013793994527
3,label,0.9229166666666667,A,0,2.1776855862452353
4,label_and_triplet,0.8583333333333333,A,0,1.6723030766660327
5,triplet,0.18125,A,0,1.2458770092843678
6,label,0.90625,B,0,2.128989615057762
7,label_and_triplet,0.8875,B,0,1.9551274310026272
8,triplet,0.23333333333333334,B,0,1.1993952379126065
9,label,0.8791666666666667,C,0,2.043942029160779
10,label_and_triplet,0.8479166666666667,C,0,1.7342670709245305
11,triplet,0.25,C,0,1.239792680683477
12,label,0.8916666666666667,A2,1,2.2483650707885645
13,label_and_triplet,0.8979166666666667,A2,1,1.8747504901027778
14,triplet,0.22708333333333333,A2,1,1.1327674025463819
15,label,0.8666666666666667,A,1,1.8986839992195046
16,label_and_triplet,0.9125,A,1,1.8629514174363173
17,triplet,0.19375,A,1,1.2097190968721945
18,label,0.9145833333333333,B,1,2.060349266859565
19,label_and_triplet,0.9458333333333333,B,1,2.148831829750364
20,triplet,0.21875,B,1,1.189628377895617
21,label,0.8791666666666667,C,1,2.1262667828624724
22,label_and_triplet,0.9,C,1,1.9286216748274294
23,triplet,0.20208333333333334,C,1,1.247694008493328
24,label,0.8875,A2,2,2.0399411732674846
25,label_and_triplet,0.8916666666666667,A2,2,1.9662299614576977
26,triplet,0.25625,A2,2,1.20246418792637
27,label,0.8916666666666667,A,2,2.070612708299871
28,label_and_triplet,0.9041666666666667,A,2,1.8898594004711426
29,triplet,0.14791666666666667,A,2,1.1870104855688233
30,label,0.90625,B,2,2.0800940953786893
31,label_and_triplet,0.90625,B,2,1.8419911526323127
32,triplet,0.25625,B,2,1.188783821786864
33,label,0.9145833333333333,C,2,2.1177544996188415
34,label_and_triplet,0.9145833333333333,C,2,2.008278503423775
35,triplet,0.19166666666666668,C,2,1.1997697130914884
36,label,0.9375,A2,3,2.218778303877561
37,label_and_triplet,0.8791666666666667,A2,3,1.8720859085116182
38,triplet,0.225,A2,3,1.1568916262326165
39,label,0.9208333333333333,A,3,2.1868319159322462
40,label_and_triplet,0.875,A,3,1.8023618562014572
41,triplet,0.25416666666666665,A,3,1.1760253708084463
42,label,0.91875,B,3,2.159256811643283
43,label_and_triplet,0.9041666666666667,B,3,1.8129271350013438
44,triplet,0.30833333333333335,B,3,1.1984292496902147
45,label,0.88125,C,3,2.172097842802577
46,label_and_triplet,0.8958333333333334,C,3,1.9007248945844426
47,triplet,0.26458333333333334,C,3,1.24101318580613
48,label,0.9,A2,4,2.0991858020661796
49,label_and_triplet,0.9291666666666667,A2,4,1.9597353043765684
50,triplet,0.22916666666666666,A2,4,1.181675159000392
