m1,m2,task,overlap,within_cat_r,between_cat_r,procrustes,cat_score_1,cat_score_2,iter,mean_cat_score,min_cat_score
A0,B0,label,50.0,0.3259657026682837,0.6315532888220158,0.25029983868447636,3.145897314651022,3.2877572106788384,0,3.21682726266493,3.145897314651022
A0,C0,label,0.0,0.24499227217054453,0.45475852964658914,0.3568016826778815,3.145897314651022,2.9764467484888115,0,3.0611720315699165,2.9764467484888115
B0,C0,label,33.33,0.28535400441888853,0.35555777064753735,0.3794339517186931,3.2877572106788384,2.9764467484888115,0,3.132101979583825,2.9764467484888115
A0,A20,label,100.0,0.6617964336856637,0.42502123161925187,0.23320307041505398,3.145897314651022,2.655586358485418,0,2.90074183656822,2.655586358485418
A1,B1,label,50.0,0.3707937001510086,0.38692858107603934,0.4114066446165674,2.7054308271509035,3.051459704513789,1,2.8784452658323465,2.7054308271509035
A1,C1,label,0.0,0.09641016258893571,0.4104988546241894,0.46567960574869155,2.7054308271509035,3.110614620433778,1,2.9080227237923406,2.7054308271509035
B1,C1,label,33.33,0.09794483332526507,0.4161177421935316,0.37278762674410615,3.051459704513789,3.110614620433778,1,3.0810371624737836,3.051459704513789
A1,A21,label,100.0,0.6126804535474399,0.6325691476208708,0.22894834400434685,2.7054308271509035,3.205349656986228,1,2.9553902420685656,2.7054308271509035
A2,B2,label,50.0,0.30539352208456183,0.3769068791072672,0.37749095807393473,2.995052745817906,3.216654179617653,2,3.1058534627177794,2.995052745817906
A2,C2,label,0.0,0.026338232913088105,0.361301778705937,0.41177822293384514,2.995052745817906,3.1390173284457,2,3.067035037131803,2.995052745817906
B2,C2,label,33.33,0.12250753090943005,0.49578400413735435,0.34504133696679506,3.216654179617653,3.1390173284457,2,3.177835754031676,3.1390173284457
A2,A22,label,100.0,0.47025934718074475,0.4470025422826126,0.2886547419111117,2.995052745817906,2.7547426735352696,2,2.8748977096765875,2.7547426735352696
A3,B3,label,50.0,0.3708218818901511,0.6323832649092125,0.255629550396666,3.2242880491938988,3.2930240719809496,3,3.258656060587424,3.2242880491938988
A3,C3,label,0.0,0.0960592710459363,0.5483684420594757,0.37620596604480916,3.2242880491938988,3.176100359396589,3,3.2001942042952436,3.176100359396589
B3,C3,label,33.33,0.16050663297444825,0.3621891569415587,0.39967394312049476,3.2930240719809496,3.176100359396589,3,3.2345622156887694,3.176100359396589
A3,A23,label,100.0,0.7242612980749438,0.4544682589966144,0.2510125241391239,3.2242880491938988,3.5196163438007226,3,3.3719521964973107,3.2242880491938988
A4,B4,label,50.0,0.336421500902826,0.5534331131613888,0.3173759926213799,3.235018549233628,3.4373394641045247,4,3.3361790066690764,3.235018549233628
A4,C4,label,0.0,0.16421394824344174,0.4688712809838997,0.41367545335420236,3.235018549233628,3.228410615837398,4,3.2317145825355134,3.228410615837398
B4,C4,label,33.33,0.17111775155480977,0.47779182315650065,0.3048127725792719,3.4373394641045247,3.228410615837398,4,3.3328750399709612,3.228410615837398
A4,A24,label,100.0,0.5001336593284066,0.3867415153595376,0.36560524991530613,3.235018549233628,3.1169801595579996,4,3.175999354395814,3.1169801595579996
A5,B5,label,50.0,0.46334844719028506,0.3228020949841391,0.3583437721110166,2.7054538719981944,3.1900313122863784,5,2.947742592142286,2.7054538719981944
A5,C5,label,0.0,0.08802021558748596,0.2500657162925721,0.4563525171423205,2.7054538719981944,3.1475750888617218,5,2.926514480429958,2.7054538719981944
B5,C5,label,33.33,0.10542060911012538,0.24133007031584516,0.37602606665723737,3.1900313122863784,3.1475750888617218,5,3.1688032005740503,3.1475750888617218
A5,A25,label,100.0,0.6039180080051935,0.4897240017933045,0.2247373684577242,2.7054538719981944,2.998837549715012,5,2.852145710856603,2.7054538719981944
A6,B6,label,50.0,0.12611186034277716,0.6805621194907876,0.409160177218309,2.4756062139704684,3.1694807116754484,6,2.822543462822958,2.4756062139704684
A6,C6,label,0.0,-0.040812988050106296,0.30948012763694155,0.5300397899171596,2.4756062139704684,3.1267640796932867,6,2.8011851468318776,2.4756062139704684
B6,C6,label,33.33,0.17108799071130742,0.4896516581539611,0.34410974585215803,3.1694807116754484,3.1267640796932867,6,3.148122395684368,3.1267640796932867
A6,A26,label,100.0,0.24439727362458297,0.478955401816668,0.41186856326086685,2.4756062139704684,2.772984918552133,6,2.624295566261301,2.4756062139704684
A7,B7,label,50.0,0.3428231086648829,0.6343899890870198,0.3404138071410133,3.157987341553162,3.1010804387825415,7,3.1295338901678518,3.1010804387825415
A7,C7,label,0.0,0.17054081672422894,0.42105541220721104,0.4064082404072332,3.157987341553162,3.0361463548836283,7,3.097066848218395,3.0361463548836283
B7,C7,label,33.33,0.15029566942868003,0.41757965432099475,0.36855890010952747,3.1010804387825415,3.0361463548836283,7,3.0686133968330846,3.0361463548836283
A7,A27,label,100.0,0.5668447662552666,0.7490133645750912,0.2366022678940259,3.157987341553162,3.1884143859311362,7,3.1732008637421494,3.157987341553162
A8,B8,label,50.0,0.3580565094996434,0.43271765283521857,0.2704580308201804,2.8491964993357626,3.214036130824212,8,3.0316163150799875,2.8491964993357626
A8,C8,label,0.0,0.07632561177707815,0.2980765883872678,0.3773903478778415,2.8491964993357626,3.0729621092982007,8,2.9610793043169816,2.8491964993357626
B8,C8,label,33.33,0.1582145747023851,0.3188167677956506,0.32599251850135075,3.214036130824212,3.0729621092982007,8,3.1434991200612066,3.0729621092982007
