task,model,overlap,within_cat_r,between_cat_r,procrustes,cat_score_1,cat_score_2,iter,mean_cat_score,min_cat_score
label,A0,50.0,0.41091813617483064,0.503777683362619,0.2801015305924706,3.145897314651022,2.973263439217689,0,3.0595803769343557,2.9259768072084165
label,A1,50.0,0.3599614387624614,0.4766655277736998,0.36867819812320196,2.7054308271509035,3.1224746606445986,1,2.913952743897751,2.7054308271509035
label,A2,50.0,0.26733036739279825,0.39507040003193894,0.3593079743062972,2.995052745817906,3.03680472719954,2,3.015928736508723,2.9149493883903603
label,A20,100.0,0.6617964336856637,0.42502123161925187,0.23320307041505398,3.145897314651022,2.655586358485418,0,2.90074183656822,2.655586358485418
label,A21,100.0,0.6126804535474399,0.6325691476208708,0.22894834400434685,2.7054308271509035,3.205349656986228,1,2.9553902420685656,2.7054308271509035
label,A22,100.0,0.47025934718074475,0.4470025422826126,0.2886547419111117,2.995052745817906,2.7547426735352696,2,2.8748977096765875,2.7547426735352696
label,A23,100.0,0.7242612980749438,0.4544682589966144,0.2510125241391239,3.2242880491938988,3.5196163438007226,3,3.3719521964973107,3.2242880491938988
label,A24,100.0,0.5001336593284066,0.3867415153595376,0.36560524991530613,3.235018549233628,3.1169801595579996,4,3.175999354395814,3.1169801595579996
label,A25,100.0,0.6039180080051935,0.4897240017933045,0.2247373684577242,2.7054538719981944,2.998837549715012,5,2.852145710856603,2.7054538719981944
label,A26,100.0,0.24439727362458297,0.478955401816668,0.41186856326086685,2.4756062139704684,2.772984918552133,6,2.624295566261301,2.4756062139704684
label,A27,100.0,0.5668447662552666,0.7490133645750912,0.2366022678940259,3.157987341553162,3.1884143859311362,7,3.1732008637421494,3.157987341553162
label,A28,100.0,0.5682995638504063,0.4807654032129532,0.2524966306362946,2.8491964993357626,3.1631774480061754,8,3.006186973670969,2.8491964993357626
label,A29,100.0,0.6846153127004665,0.41910758625733935,0.211818727383663,3.0542234106864474,3.169565773370485,9,3.111894592028466,3.0542234106864474
label,A3,50.0,0.3970474836703437,0.5450733219884342,0.29428268019353304,3.2242880491938988,3.329580258392754,3,3.276934153793326,3.2082254859281285
label,A4,50.0,0.3335897028248915,0.469681969834942,0.36555223196362946,3.235018549233628,3.2609100798333075,4,3.247964314533468,3.1934697748763425
label,A5,50.0,0.38509555692765485,0.35419727102333853,0.34647788590368717,2.7054538719981944,3.1121479836210377,5,2.9088009278096156,2.7054538719981944
label,A6,50.0,0.10989871530575128,0.48966588298146574,0.4503561767987785,2.4756062139704684,3.023076569973623,6,2.7493413919720453,2.4756062139704684
label,A7,50.0,0.3600695638814595,0.6014862552897741,0.32780810514742414,3.1579873415531616,3.1085470598657685,7,3.133267200709465,3.0984047117397773
label,A8,50.0,0.3342272283757093,0.4038532148118132,0.3001150031114388,2.8491964993357626,3.1500585627095297,8,2.999627531022646,2.8491964993357626
label,A9,50.0,0.31359958961758455,0.42931067402347384,0.3007284932161293,3.0542234106864474,3.1338149420823673,9,3.0940191763844074,3.03403845891324
label,B0,41.665,0.3056598535435861,0.49355552973477657,0.31486689520158473,3.21682726266493,3.132101979583825,0,3.1744646211243777,3.0611720315699165
label,B1,41.665,0.23436926673813685,0.40152316163478546,0.3920971356803368,2.8784452658323465,3.0810371624737836,1,2.979741214153065,2.8784452658323465
label,B2,41.665,0.21395052649699595,0.4363454416223108,0.3612661475203649,3.1058534627177794,3.177835754031676,2,3.141844608374728,3.067035037131803
